Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
58.4	93.894	0.00014569
58.5	93.994	0.000145566666666667
58.6	94.094	0.000145433333333333
58.7	94.194	0.000145333333333333
58.8	94.294	0.000145206666666667
58.9	94.394	0.00014509
59.0	94.494	0.000145013333333333
59.1	94.594	0.000144873333333333
59.2	94.694	0.000144743333333333
59.3	94.794	0.000144613333333333
59.4	94.894	0.000144476666666667
59.5	94.994	0.000144386666666667
59.6	95.094	0.00014421
59.7	95.194	0.000144086666666667
59.8	95.294	0.00014399
59.9	95.394	0.00014387
60.0	95.494	0.000143746666666667
60.1	95.594	0.0001436
60.2	95.694	0.000143456666666667
60.3	95.794	0.00014333
60.4	95.894	0.0001432
60.5	95.994	0.00014307
60.6	96.094	0.000142933333333333
60.7	96.194	0.000142783333333333
60.8	96.294	0.000142613333333333
60.9	96.394	0.000142476666666667
61.0	96.494	0.000142353333333333
61.1	96.594	0.000142193333333333
61.2	96.694	0.000142056666666667
61.3	96.794	0.000141893333333333
61.4	96.894	0.000141763333333333
61.5	96.994	0.00014164
61.6	97.094	0.000141503333333333
61.7	97.194	0.000141353333333333
61.8	97.294	0.00014121
61.9	97.394	0.000141056666666667
62.0	97.494	0.0001409
62.1	97.594	0.000140776666666667
62.2	97.694	0.00014063
62.3	97.794	0.00014048
62.4	97.894	0.000140326666666667
62.5	97.994	0.000140173333333333
62.6	98.094	0.000140036666666667
62.7	98.194	0.000139873333333333
62.8	98.294	0.000139736666666667
62.9	98.394	0.000139623333333333
63.0	98.494	0.00013949
63.1	98.594	0.000139346666666667
63.2	98.694	0.000139163333333333
63.3	98.794	0.000139033333333333
63.4	98.894	0.000138873333333333
63.5	98.994	0.000138723333333333
63.6	99.094	0.000138536666666667
63.7	99.194	0.000138403333333333
63.8	99.294	0.000138243333333333
63.9	99.394	0.000138106666666667
64.0	99.494	0.00013796
64.1	99.594	0.000137806666666667
64.2	99.694	0.00013764
64.3	99.794	0.000137463333333333
64.4	99.894	0.00013727
64.5	99.994	0.000137086666666667
64.6	100.094	0.000136943333333333
64.7	100.194	0.000136776666666667
64.8	100.294	0.000136606666666667
64.9	100.394	0.00013646
65.0	100.494	0.00013628
65.1	100.594	0.000136103333333333
65.2	100.694	0.00013595
65.3	100.794	0.000135756666666667
65.4	100.894	0.000135593333333333
65.5	100.994	0.000135413333333333
65.6	101.094	0.000135233333333333
65.7	101.194	0.000135046666666667
65.8	101.294	0.00013485
65.9	101.394	0.000134656666666667
66.0	101.494	0.000134493333333333
66.1	101.594	0.000134296666666667
66.2	101.694	0.000134103333333333
66.3	101.794	0.00013394
66.4	101.894	0.000133756666666667
66.5	101.994	0.000133563333333333
66.6	102.094	0.000133383333333333
66.7	102.194	0.000133183333333333
66.8	102.294	0.000132996666666667
66.9	102.394	0.00013281
67.0	102.494	0.000132636666666667
67.1	102.594	0.000132473333333333
67.2	102.694	0.000132266666666667
67.3	102.794	0.00013206
67.4	102.894	0.00013185
67.5	102.994	0.000131653333333333
67.6	103.094	0.000131486666666667
67.7	103.194	0.000131346666666667
67.8	103.294	0.000131106666666667
67.9	103.394	0.000130976666666667
68.0	103.494	0.000130783333333333
68.1	103.594	0.00013059
68.2	103.694	0.00013037
68.3	103.794	0.00013017
68.4	103.894	0.000130013333333333
68.5	103.994	0.00012979
68.6	104.094	0.000129623333333333
68.7	104.194	0.00012948
68.8	104.294	0.000129253333333333
68.9	104.394	0.000129056666666667
69.0	104.494	0.000128853333333333
69.1	104.594	0.000128693333333333
