angle (deg)	photocurrent	norm	cos2
265	0.000135807	9.94E-01	0.992403877
266	0.00013536	9.91E-01	0.9890738
267	0.00013487	9.87E-01	0.985147863
268	0.000134273	9.83E-01	0.980630848
269	0.000133677	9.79E-01	0.975528258
270	0.00013296	9.73E-01	0.96984631
271	0.000132147	9.67E-01	0.963591927
272	0.000131227	9.61E-01	0.956772729
273	0.000130243	9.53E-01	0.949397023
274	0.00012922	9.46E-01	0.941473796
275	0.000128123	9.38E-01	0.933012702
276	0.000126913	9.29E-01	0.924024048
277	0.00012561	9.20E-01	0.914518786
278	0.000124297	9.10E-01	0.904508497
279	0.000122923	9.00E-01	0.894005377
280	0.00012159	8.90E-01	0.883022222
281	0.000119963	8.78E-01	0.871572413
282	0.00011827	8.66E-01	0.8596699
283	0.00011657	8.53E-01	0.847329185
284	0.000114897	8.41E-01	0.834565303
285	0.000113207	8.29E-01	0.821393805
286	0.00011147	8.16E-01	0.807830738
287	0.000109463	8.01E-01	0.793892626
288	0.000107477	7.87E-01	0.779596452
289	0.000105447	7.72E-01	0.764959632
290	0.000103453	7.57E-01	0.75
291	0.000101383	7.42E-01	0.734735781
292	9.93E-05	7.27E-01	0.719185573
293	9.71E-05	7.11E-01	0.703368322
294	9.50E-05	6.96E-01	0.687303297
295	9.29E-05	6.80E-01	0.671010072
296	9.07E-05	6.64E-01	0.654508497
297	8.84E-05	6.47E-01	0.637818678
298	8.60E-05	6.30E-01	0.620960948
299	8.38E-05	6.13E-01	0.603955845
300	8.15E-05	5.96E-01	0.586824089
301	7.92E-05	5.79E-01	0.56958655
302	7.67E-05	5.61E-01	0.552264232
303	7.42E-05	5.43E-01	0.534878237
304	7.18E-05	5.26E-01	0.517449748
305	6.94E-05	5.08E-01	0.5
306	6.70E-05	4.91E-01	0.482550252
307	6.46E-05	4.73E-01	0.465121763
308	6.22E-05	4.55E-01	0.447735768
309	5.98E-05	4.38E-01	0.43041345
310	5.76E-05	4.21E-01	0.413175911
311	5.53E-05	4.04E-01	0.396044155
312	5.29E-05	3.87E-01	0.379039052
313	5.05E-05	3.69E-01	0.362181322
314	4.82E-05	3.53E-01	0.345491503
315	4.60E-05	3.37E-01	0.328989928
316	4.39E-05	3.21E-01	0.312696703
317	4.16E-05	3.05E-01	0.296631678
318	3.93E-05	2.88E-01	0.280814427
319	3.71E-05	2.72E-01	0.265264219
320	3.50E-05	2.56E-01	0.25
321	3.30E-05	2.41E-01	0.235040368
322	3.09E-05	2.26E-01	0.220403548
323	2.88E-05	2.11E-01	0.206107374
324	2.69E-05	1.97E-01	0.192169262
325	2.51E-05	1.84E-01	0.178606195
326	2.34E-05	1.71E-01	0.165434697
327	2.15E-05	1.57E-01	0.152670815
328	1.97E-05	1.44E-01	0.1403301
329	1.80E-05	1.32E-01	0.128427587
330	1.65E-05	1.21E-01	0.116977778
331	1.50E-05	1.10E-01	0.105994623
332	1.36E-05	9.95E-02	0.095491503
333	1.22E-05	8.89E-02	0.085481214
334	1.08E-05	7.89E-02	0.075975952
335	9.54E-06	6.99E-02	0.066987298
336	8.41E-06	6.16E-02	0.058526204
337	7.34E-06	5.37E-02	0.050602977
338	6.29E-06	4.60E-02	0.043227271
339	5.29E-06	3.87E-02	0.036408073
340	4.42E-06	3.23E-02	0.03015369
341	3.63E-06	2.65E-02	0.024471742
342	2.92E-06	2.14E-02	0.019369152
343	2.28E-06	1.67E-02	0.014852137
344	1.72E-06	1.26E-02	0.0109262
345	1.26E-06	9.22E-03	0.007596123
346	8.85E-07	6.48E-03	0.004865966
347	5.80E-07	4.24E-03	0.002739052
348	3.45E-07	2.53E-03	0.001217975
349	1.90E-07	1.39E-03	0.000304586
350	1.27E-07	9.28E-04	0
351	1.39E-07	1.02E-03	0.000304586
352	2.31E-07	1.69E-03	0.001217975
353	4.05E-07	2.97E-03	0.002739052
354	6.75E-07	4.94E-03	0.004865966
355	1.02E-06	7.47E-03	0.007596123
356	1.43E-06	1.05E-02	0.0109262
357	1.92E-06	1.41E-02	0.014852137
358	2.49E-06	1.82E-02	0.019369152
359	3.17E-06	2.32E-02	0.024471742
360	4.02E-06	2.94E-02	0.03015369
