Home offset is 0
angle (deg)	photocurrent
27.1000000000001	4.44443333333333E-05
27.2000000000001	4.49833333333333E-05
27.3000000000001	4.5264E-05
27.4000000000001	4.541E-05
27.5000000000001	4.56066666666667E-05
27.6000000000001	4.58433333333333E-05
27.7000000000001	4.60703333333333E-05
27.8000000000001	4.625E-05
27.9000000000001	4.62396666666667E-05
28.0000000000001	4.61346666666667E-05
28.1000000000001	4.63653333333333E-05
28.2000000000001	4.70526666666667E-05
28.3000000000001	4.74726666666667E-05
28.4000000000001	4.76556666666667E-05
28.5000000000001	4.78383333333333E-05
28.6000000000001	4.80213333333333E-05
28.7000000000001	4.82653333333333E-05
28.8000000000001	4.85093333333333E-05
28.9000000000001	4.86956666666667E-05
29.0000000000001	4.8608E-05
29.1000000000001	4.85093333333333E-05
29.2000000000001	4.87906666666667E-05
29.3000000000001	4.94853333333333E-05
29.4000000000001	4.9929E-05
29.5000000000001	5.01486666666667E-05
29.6000000000002	5.03526666666667E-05
29.7000000000002	5.05623333333333E-05
29.8000000000002	5.08163333333333E-05
29.9000000000002	5.10836666666667E-05
30.0000000000002	5.12566666666667E-05
30.1000000000002	5.12936666666667E-05
30.2000000000002	5.11313333333333E-05
30.3000000000002	5.14263333333333E-05
30.4000000000002	5.20833333333333E-05
30.5000000000002	5.26153333333333E-05
30.6000000000002	5.28826666666667E-05
30.7000000000002	5.30793333333333E-05
30.8000000000002	5.32793333333333E-05
30.9000000000002	5.3547E-05
31.0000000000002	5.38076666666667E-05
31.1000000000002	5.40383333333333E-05
31.2000000000002	5.41126666666667E-05
31.3000000000002	5.3872E-05
31.4000000000002	5.4187E-05
31.5000000000002	5.44953333333333E-05
31.6000000000002	5.51793333333333E-05
31.7000000000002	5.55556666666667E-05
31.8000000000002	5.57653333333333E-05
31.9000000000002	5.59316666666667E-05
32.0000000000002	5.61313333333333E-05
32.1000000000002	5.63653333333333E-05
32.2000000000002	5.6616E-05
32.3000000000002	5.6819E-05
32.4000000000002	5.68293333333333E-05
32.5000000000002	5.6548E-05
32.6000000000002	5.68766666666667E-05
